text	root	ending	clitic	partofspeech	form
Kukipä	Kukipä	0		H	sg n
Loomann	Loomaku	0		H	sg n
Luiki	Luik	0		H	sg g
Tadoldre	Tadoldre	0		H	sg n
Tiilik	Tiilik	0		H	sg n
Pannel	Pannel	0		H	sg n
Pastake	Pastak	0		H	sg g
een	ees	0		K	
Pbet	Pbet	0		H	sg n
lännu	mine	nu		V	nud
valla	valla	0		H	sg n
Peeter	Peeter	0		H	sg n
Kalliperral	Kallipera	l		H	sg ad
nännu	näge	nu		V	nud
Tüter	Tüter	0		H	sg n
Kops	Kops	0		H	sg n
Unnipihast	Unnipihan	t		H	sg p
Kammeri	Kammeri	0		H	sg n
Küllaots	Küllaots	0		H	sg n
Vaeste	Vaeste	te		H	sg n
Laadikode	Laadikode	0		H	sg n
Peetr	Peetr	0		H	sg n
Hindrik	Hindrik	0		H	sg n
Võso	Võso	0		H	sg n
Ruudline	Ruudline	0		H	sg n
kaivas	kaeba	s		V	s
Tunnist	Tunnist	0		H	sg n
Pavel	Pavel	0		H	sg n
P.	P.	0		Y	sg n
Püssale	Püssa	le		H	sg all
Rügi	Rügi	0		H	sg n
Pille	Pille	0		H	sg n
Brottcolli	Brottcolli	0		H	sg n
Ketner	Ketner	0		H	sg n
Valdsohn	Valdson	0		H	sg g
Mihke	Mihke	0		H	sg n
Laadiko	Laadiko	0		H	sg n
Laos	Laos	0		H	sg n
Valtsohn	Valtsohn	0		H	sg n
Volmer	Volmer	0		H	sg n
Speekil	Speek	l		H	sg ad
Kullesse	Kullesse	sse		H	sg n
Tiido	Tiido	0		H	sg n
Kalliperra	Kallipera	0		H	sg g
Järv	Järv	0		H	sg n
Tadoldred	Tadolder	d		H	sg g
kirjo	kiri	o		S	pl g
Kivi	Kivi	0		H	sg n
kodon	kodu	n		S	sg n
Unnipichan	Unnipichan	0		H	sg n
Oina	Oina	0		H	sg n
M.	M.	0		Y	sg n
Tarto	Tarto	0		H	sg n
puie	puu	ie		S	pl g
Harmson	Harmson	0		H	sg n
Ann	Ann	0		H	sg n
Kallas	Kallas	0		H	sg n
Veelits	Veelits	0		H	sg n
Kalliperast	Kallipera	t		H	sg p
Obeti	Obeti	0		H	sg n
mõlemba	mõlemad	0		P	pl n
Vallavalitsus	Vallavalitsus	0		H	sg n
Vöölmundri	Vöölmundri	0		H	sg n
Hans	Hans	0		H	sg n
Külaotsal	Külaots	l		H	sg ad
Kirjotamisen	Kirjotamisen	0		H	sg n
Norrmanni	Norrmanni	0		H	sg n
Tiga	Tiga	0		H	sg n
vallast	vallast	st		H	sg n
Pavelile	Pavel	le		H	sg all
Kolbergil	Kolberg	l		H	sg ad
Brottocollin	Brottocolli	0		H	sg g
Lomb	Lomb	0		H	sg n
Jaani	Jaan	0		H	sg g
tõvotas	tõota	s		V	s
Valdson	Valdson	0		H	sg n
Kondassele	Kondas	le		H	sg all
Joosep	Joosep	0		H	sg n
Kogogonna	Kogokona	0		H	sg g
Laur	Laur	0		H	sg n
Samoel	Samoel	0		H	sg n
Elias	Elia	0		H	sg g
Jakob	Jakob	0		H	sg n
Tadolder	Tadoldre	0		H	sg n
pääl	peal	0		K	
Elis	Elis	0		H	sg n
August	August	0		H	sg n
massa	maks	a		V	da
panto	pane	to		V	tud
Assmusele	Assmus	le		H	sg all
Räkkandi	Räkkandi	0		H	sg n
Keriko	Keriko	0		H	sg n
Võssul	Võsso	l		H	sg ad
mitto	mitu	0		P	sg n
Kitsbergi	Kitsbergi	0		H	sg n
voi	või	0		V	o
Kalliperad	Kallipera	d		H	sg g
Elial	Elia	l		H	sg ad
Janoaris	Janoaris	0		H	sg n
Hendriksoni	Hendrikson	0		H	sg g
Aakarust	Aakarust	st		H	sg n
Tedre	Tedre	0		H	sg n
Laurson	Laurson	0		H	sg n
Võssule	Võsso	le		H	sg all
Zirkul	Zirk	l		H	sg ad
'	’			H	
pääle	peale	0		D	
Pügi	Pügi	0		H	sg n
pitti	pidi	0		D	
Steinbach	Steinbach	0		H	sg n
Sirk	Sirk	0		H	sg n
Rammi	Rammi	0		H	sg n
Sillda	Sillda	0		H	sg n
Mõtsavaht	Mõtsavaht	0		H	sg n
tunnistiva	tunnista	iva		V	sid
kõrdsist	kõrts	st		S	sg el
Lepiku	Lepik	0		H	sg g
Märtini	Märtin	0		H	sg g
Kars	Kars	0		H	sg n
Sillo	Silla	0		H	sg n
Brottocolliga	Brottocolliga	ga		H	sg n
henda	ise	0		P	sg g
Rämm	Rämm	0		H	sg n
Kalberg	Kalberg	0		H	sg n
Steinbachil	Steinbach	l		H	sg ad
Tiidole	Tiido	le		H	sg all
valitsuse	valitsuse	0		H	sg n
Annale	Annale	le		H	sg n
tunnistap	tunnista	p		V	b
Tiidust	Tiido	t		H	sg p
kotto	kodu	0		S	sg in
Tigasel	Tigane	l		H	sg ad
Loomaku	Loomaku	0		H	sg n
ollev	ole	v		V	vat
Võsole	Võso	le		H	sg all
vallavanemba	valla_vanem	0		S	sg g
olluva	ole	uva		V	nuvad
le	le	0		Y	?
Koger	Koger	0		H	sg n
Kiisk	Kiisk	0		H	sg n
Kohtomeeste	kohtu_mees	te		S	pl g
Tido	Tido	0		H	sg n
Valtsoon	Valtsohn	0		H	sg n
Pastakol	Pastak	l		H	sg ad
a	a	0		Y	?
Kõrtsin	Kõrtsin	0		H	sg n
Käpa	Käpa	0		H	sg n
Paats	Paats	0		H	sg n
Hatra	Hatra	0		H	sg n
Joost	Joost	0		H	sg n
küla	küla	0		H	sg n
Luik	Luik	0		H	sg n
Räkkand	Räkkand	0		H	sg n
Edi	Edi	0		H	sg n
Tigasen	Tigane	0		H	sg g
Vallal	Vallal	0		H	sg n
Ketneri	Ketner	0		H	sg g
Jõgara	Jõgara	0		H	sg n
Kaibas	kaeba	s		V	s
kaits	kaks	0		N	sg n
Saitsme	seitse	0		N	sg g
Röa	Röa	0		H	sg n
Torril	Torril	0		H	sg n
kogokonna	kogu_kond	0		S	sg g
Ruus	Ruus	0		H	sg n
Sohnbergil	Sohnberg	l		H	sg ad
rehknungi	rehnung	0		S	sg g
omma	ole	0		V	vad
Tov	Tov	0		H	sg n
Silld	Silld	0		H	sg n
Kõivo	Kõivo	0		H	sg n
Merk	Merk	0		H	sg n
Kal	Kal	0		H	sg n
Sauterile	Sauter	le		H	sg all
Brükker	Brükker	0		H	sg n
Siimon	Siimon	0		H	sg n
Tadaltraka	Tadaltraka	0		H	sg n
Noormets	Noormets	0		H	sg n
Nilble	Nilbe	0		H	sg g
Et	Et	0		H	sg n
enneki	enne	0	gi	D	
Märtin	Märtin	0		H	sg n
nee	see	d		P	pl n
Kondas	Kondas	0		H	sg n
Litsak	Litsak	0		H	sg n
Silla	Silla	0		H	sg n
Kogre	Kogre	0		H	sg n
Dombergi	Domberg	0		H	sg g
talo	talu	0		S	sg g
Sander	Sander	0		H	sg n
Marie	Marie	0		H	sg n
Tomson	Tomson	0		H	sg n
Liivon	Liivon	0		H	sg n
Härg	Härg	0		H	sg n
paneki	panek	0		S	sg g
Sauterit	Sauter	t		H	sg p
Tiilikul	Tiilik	l		H	sg ad
Kohton	Kohton	0		H	sg n
käen	käes	0		K	
Võsu	Võsu	0		H	sg n
Sugunime	Sugunime	0		H	sg n
pessnu	peks	nu		V	nud
Kivinitsin	Kivinitsi	0		H	sg g
Võssud	Võsso	d		H	sg g
Külaots	Külaots	0		H	sg n
Kägo	Kägo	0		H	sg n
Lilber	Lilber	0		H	sg n
Asmusse	Asmusse	sse		H	sg n
Ruhs	Ruhs	0		H	sg n
Ruusa	Ruusa	0		H	sg n
Liit	Liit	0		H	sg n
Pastakuga	Pastak	ga		H	sg kom
Tigane	Tigane	0		H	sg n
Liisa	Liisa	0		H	sg n
Rüps	Rüps	0		H	sg n
Sass	Sass	0		H	sg n
Hendrik	Hendrik	0		H	sg n
Mihkel	Mihkel	0		H	sg n
Vöölmunder	Vöölmunder	0		H	sg n
Külaotsale	Külaots	le		H	sg all
Kambja	Kambja	0		H	sg n
Otepast	Otepast	st		H	sg n
Uderna	Uderna	0		H	sg n
Päiva	Päiva	0		H	sg n
tõine	teine	0		P	sg n
rint	rind	0		S	sg n
