text	root	ending	clitic	partofspeech	form
Vaino	Vaino	0		H	sg n
Noppi	Nopp	0		H	sg g
Särrele	Särrele	0		H	sg n
köije	köis	0		S	sg g
Raisi	Raisi	0		H	sg n
Volli	Volli	0		H	sg n
hobbesit	hobune	it		S	pl p
kahjo	kahju	0		S	sg n
Avalombi	Avalombi	0		H	sg n
Hammeri	Hammeri	0		H	sg n
Jürripäiva	Jürri	0		H	sg g
teggime	tege	ime		V	sime
Sirgol	Sirgo	l		H	sg ad
Meose	Meose	0		H	sg n
polest	poolest	0		D	
Kustenbergil	Kustenbergil	l		H	sg n
Mikkeli	Mikkel	0		H	sg g
Sikka	Sikka	0		H	sg n
Jaasi	Jaas	0		H	sg g
Praaklel	Praakli	l		H	sg ad
Tattrik	Tattrik	0		H	sg n
innimissele	inimene	le	S	sg all	
perremehhest	pere_mees	st	S	sg el	
kirvas	kirves	0		S	sg n
Vohlale	Vohla	le		H	sg all
Visse	Visse	0		H	sg n
Laur	Laur	0		H	sg n
teggin	tege	in		V	sin
essite	esiti	0		D	
Mehhitsemae	Mehhitsemae	0		H	sg n
Tiro	Tiro	0		H	sg n
kässin	käsk	sin		V	sin
Kallal	Kalla	l		H	sg ad
Vohler	Vohla	0		H	sg g
lubbasiva	luba	siva		V	sid
Mitter	Mitter	0		H	sg n
Tiirikule	Tiirikule	0		H	sg n
Bairitek	Bairitek	0		H	sg n
Armit	Armi	t		H	sg p
Anna	Anna	0		H	sg n
Voitka	Voitka	0		H	sg n
õnnelikkult	õnnelikult	0		D	
Punnari	Punnori	0		H	sg n
Rautseppa	Rautsep	0		H	sg g
Sarrakusselt	Sarrakusse	t		H	sg p
Johanile	Johan	le		H	sg all
Indrik	Indrik	0		H	sg n
Kaagverest	Kaagverest	st		H	sg n
Armiga	Armi	ga		H	sg kom
essi	ise	0		P	sg n
Karjus	Karjus	0		H	sg n
omme	oma	0		P	
Suurmõtsale	Suurmõts	le		H	sg all
ollin	ole	in		V	sin
Reinmann	Reinmann	0		H	sg n
Praklile	Prakel	le		H	sg all
ühhes	ühes	0		D	
Kibbali	Kibbali	0		H	sg n
Urmi	Urmi	0		H	sg n
vargade	varas	de		S	pl g
vargat	varas	t		S	pl n
Nissu	Nissu	0		H	sg n
koormalisses	koormaline	s		A	sg in
hobbosit	hobune	t		S	pl p
agga	aga	0		D	
varrastud	varasta	tud		V	tud
Tannil	Tanni	l		H	sg ad
Sirgo	Sirgo	0		H	sg n
Tiirikile	Tiirikile	0		H	sg n
Kravi	Kravi	0		H	sg n
Karle	Karli	le		H	sg all
Pruul	Pruul	0		H	sg n
An	An	0		Y	sg n
kottun	kodu	n		S	sg in
minnole	mina	le		P	sg all
R.K.t	R.K.t	0		Y	sg n
Olga	Olga	0		H	sg n
Läänsehe	Läänsehe	0		H	sg n
Kilteri	Kilter	0		H	sg g
sullasil	sulane	il		S	pl ad
ollis	ole	s		V	ks
haggu	hagu	0		S	sg p
olli	ole	i		V	s
Mihali	Mihali	0		H	sg n
Akkerta	Akkerta	0		H	sg n
Kubja	Kubja	0		H	sg n
teednu	tead	nu		V	nud
Luniast	Luniast	st		H	sg n
Kommusar	Kommusar	0		H	sg n
Alliko	Alliko	0		H	sg n
Kero	Kero	0		H	sg n
Adamson	Adamson	0		H	sg n
siski	siiski	0		D	
Püstrik	Püstrik	0		H	sg n
