text	root	ending	clitic	partofspeech	form
Birkenbaumile	Birkenbaumile	0		H	sg n
Hermani	Herman	0		H	sg g
Lübeki	Lübek	0		H	sg g
Lääper	Lääper	0		H	sg n
Jaani	Jaani	0		H	sg n
Kabel	Kabel	0		H	sg n
Kivastik	Kivastik	0		H	sg n
Jaaniga	Jaan	ga		H	sg kom
Kustav	Kustav	0		H	sg n
Ojale	Ojale	0		H	sg n
August	August	0		H	sg n
Maueril	Mauer	l		H	sg ad
Kahl	Kahl	0		H	sg n
Vissusti	Vissusti	0		H	sg n
M	M	0		Y	sg n
Möisnik	Möisnik	0		H	sg n
Märt	Märt	0		H	sg n
Birkenbaum	Birkenbaum	0		H	sg n
Kabeli	Kabel	0		H	sg g
Roosenthal	Roosenthal	0		H	sg n
Juhan	Juhan	0		H	sg n
Äinti	Äint	0		H	sg g
Pensa	Pensa	0		H	sg n
Laurson	Laurson	0		H	sg n
ile	ile	0		H	sg g
Blaubrikul	Blaubrik	l		H	sg ad
Kahlu	Kahl	0		H	sg g
Junts	Junts	0		H	sg n
'	’			H	
Laursonile	Laurson	le		H	sg all
Kohliga	Kohliga	ga		H	sg n
Staupil	Staupil	0		H	sg n
Arandiga	Arand	ga		H	sg kom
Staup	Staup	0		H	sg n
Pruulist	Pruul	t		H	sg p
R.	R.	0		Y	sg n
Birni	Birni	0		H	sg n
Viedler	Viedler	0		H	sg n
Blaubrik	Blaubrik	0		H	sg n
Karlel	Karli	l		H	sg ad
Kooli	Kool	0		H	sg g
Punder	Punder	0		H	sg n
vallaga	vallaga	ga		H	sg n
Martinsen	Martinsen	0		H	sg n
Bensale	Bensa	le		H	sg all
lükkanud	lükka	nud		V	nud
köik	kõik	0		P	sg n
Breegi	Breegi	0		H	sg n
Saare	Saar	0		H	sg g
Baarti	Baart	0		H	sg g
Jakob	Jakob	0		H	sg n
Gustav	Gustav	0		H	sg n
Kivastikuga	Kivastik	ga		H	sg kom
Valma	Valma	0		H	sg n
Eva	Eva	0		H	sg n
Van	Van	0		H	sg n
Joost	Joost	0		H	sg n
Vahtrik	Vahtrik	0		H	sg n
Joostiga	Joost	ga		H	sg kom
Punderi	Punder	0		H	sg g
vötma	võt	ma		V	ma
seäl	seal	0		D	
Birki	Birk	0		H	sg g
Vabriku	Vabriku	0		H	sg n
i	i	0		Y	?
Korknoplel	Korknopel	l		H	sg ad
Marid	Marid	d		H	sg n
Mart	Mart	0		H	sg n
Baart	Baart	0		H	sg n
Valkad	Valkad	d		H	sg n
Et	Et	0		H	sg n
Anna	Anna	0		H	sg n
Kuck	Kuck	0		H	sg n
Kuusk	Kuusk	0		H	sg n
Lübekile	Lübek	le		H	sg all
Liivakulle	Liivak	le		H	sg all
Truus	Truus	0		H	sg n
Rbl	Rbl	0		H	sg n
ga	ga	0		Y	?
Kull	Kull	0		H	sg n
nisama	nii_sama	0		D	
hakkanud	hakka	nud		V	nud
ennise	endine	0		A	sg g
Mauerist	Mauer	t		H	sg p
Luuast	Luuast	st		H	sg n
Nurk	Nurk	0		H	sg n
Silla	Silla	0		H	sg n
Prik	Prik	0		H	sg n
Kohlil	Kohl	l		H	sg ad
üttelnud	ütle	nud		V	nud
Tartus	Tartus	s		H	sg n
Pruuli	Pruul	0		H	sg g
Januaril	jaanuar	l		S	sg ad
Lübel	Lübel	0		H	sg n
Kurisoo	Kurisoo	0		H	sg n
Kool	Kool	0		H	sg n
Varamöist	Varamöist	st		H	sg n
Maueri	Mauer	0		H	sg g
Pensale	Pensa	le		H	sg all
Lübja	Lübja	0		H	sg n
Kahli	Kahl	0		H	sg g
Triinu	Triinu	0		H	sg n
Reinholdi	Reinhold	0		H	sg g
Reinhold	Reinhold	0		H	sg n
Kivastikule	Kivastik	le		H	sg all
T.	T.	0		Y	sg n
Kristjan	Kristjan	0		H	sg n
Hirschiga	Hirsch	ga		H	sg kom
Kukk	Kukk	0		H	sg n
Liivak	Liivak	0		H	sg n
Lübek	Lübek	0		H	sg n
Suup	Suup	0		H	sg n
Tooma	Tooma	0		H	sg n
Mihkel	Mihkel	0		H	sg n
Saadjärve	Saadjärve	0		H	sg n
Juurest	Juurest	0		H	sg n
saaadud	saa	dud		V	tud
Soomele	Soome	le		H	sg all
Puha	Puha	0		H	sg n
Hirsch	Hirsch	0		H	sg n
Liiso	Liiso	0		H	sg n
Mägra	Mägra	0		H	sg n
jäenud	jää	nud		V	nud
Prants	Prants	0		H	sg n
Hirst	Hirst	0		H	sg n
Möistusele	Möistusele	le		H	sg n
püidnud	püüd	nud		V	nud
Annusse	Annusse	sse		H	sg n
Tartu	Tartu	0		H	sg n
Pundert	Punder	t		H	sg p
Kohan	Kohan	n		H	sg n
Tönu	Tönu	0		H	sg n
Truusiga	Truus	ga		H	sg kom
l	l	0		Y	?
Treufeldt	Treufeldt	0		H	sg n
