text	root	ending	clitic	partofspeech	form
Peeter	Peeter	0		H	sg n
Jurna	Jurna	0		H	sg n
Naissonile	Naissonile	0		H	sg n
Mõtsu	Mõtsu	0		H	sg n
Kõima	Kõima	0		H	sg n
midagid	miski	d		P	sg p
keelduse	keeld	0		S	sg g
Riisan	Riisan	0		H	sg n
Viljakuga	Viljak	ga		H	sg kom
Kiisk	Kiisa	0		H	sg n
karjasmaalt	karja_maa	lt		S	sg el
Vastopähile	Vastopäh	le		H	sg all
Thomsoni	Thomson	0		H	sg g
Ostmanniga	Ostmanniga	ga		H	sg n
Kukki	Kukk	0		H	sg g
Pikara	Pikara	0		H	sg n
Schmidti	Schmidti	0		H	sg n
Rätsepat	Rätsep	t		H	sg p
Pernit	Pernit	0		H	sg n
kiski	keegi	0		S	sg n
Naissoni	Naissoni	0		H	sg n
Kalli	Kalli	0		H	sg n
Tammiku	Tammiku	0		H	sg n
Riisaniga	Riisan	ga		H	sg kom
Soontakil	Soontak	l		H	sg ad
Viljakut	Viljak	t		H	sg p
Liiso	Liiso	0		H	sg n
keeldusele	keeld	le		S	sg all
Pitkmann	Pitkmann	0		H	sg n
Aado	Aado	0		H	sg n
Kople	Kople	0		H	sg n
kooli	kooli	0		H	sg n
Vunck	Vunck	0		H	sg n
Mart	Mart	0		H	sg n
Paulbergi	Paulberg	0		H	sg g
Põlde	Põlde	0		H	sg n
Uuerõika	Uuerõika	0		H	sg n
Soontak	Soontak	0		H	sg n
Tõnn	Tõnn	0		H	sg n
selgeste	selgesti	0		D	
Mittile	Mittile	0		H	sg n
kaero	kaer	u		S	pl p
Iga	Iga	0		H	sg n
külasse	küla	sse		H	sg ill
kadund	kadu	nud		V	nud
kadund	kadunu	d		S	pl n
kadund	kadunud	0		A	
kadund	kadunud	0		A	sg n
kadund	kadunud	d		A	pl n
Halinga	Halinga	0		H	sg n
Kibur	Kibur	0		H	sg n
Viljak	Viljak	0		H	sg n
Vunkist	Vunk	t		H	sg p
Liivimaa	Liivimaa	0		H	sg n
Võõringi	Võõringi	0		H	sg n
Viljaku	Viljaku	0		H	sg n
Täht	Täht	0		H	sg n
Kukk	Kukk	0		H	sg n
Saumanni	Saumanni	0		H	sg n
Valla	Valla	0		H	sg n
Ostamann	Ostamann	0		H	sg n
Annus	Annus	0		H	sg n
I	I	0		Y	sg n
sillakohtule	sillakohtule	le		H	sg n
kiriku	kiriku	0		H	sg n
Mitt	Mitt	0		H	sg n
Ostmanni	Ostmann	0		H	sg g
Vilipsonile	Vilipson	le		H	sg all
Sander	Sander	0		H	sg n
Retsep	Retsep	0		H	sg n
Juhkama	Juhkama	0		H	sg n
Tächti	Tächti	0		H	sg n
Oidrema	Oidrema	0		H	sg n
Põder	Põder	0		H	sg n
Kaie	Kaie	0		H	sg n
Tärt	Tärt	0		H	sg n
II	II	0		H	sg n
Soontakilt	Soontak	t		H	sg p
Hirt	Hirt	0		H	sg n
Pernitile	Pernit	le		H	sg all
valitususe	valitsus	0		S	sg g
Siimonile	Siimon	le		H	sg all
annud	and	nud		V	nud
Ditmar	Ditmar	0		H	sg n
Peetermann	Peetermann	0		H	sg n
Triinu	Triinu	0		H	sg n
Vastopäht	Vastopäh	t		H	sg p
Vunkiga	Vunk	ga		H	sg kom
Ristivälja	Ristivälja	0		H	sg n
Naissonil	Naisson	l		H	sg ad
Lauriti	Lauriti	0		H	sg n
Veltsa	Veltsa	0		H	sg n
Fritz	Fritz	0		H	sg n
Pikki	Pikk	0		H	sg g
Rätsepa	Rätsep	0		H	sg g
Pärnu	Pärnu	0		H	sg n
Rätsepale	Rätsep	le		H	sg all
Kask	Kask	0		H	sg n
Liisa	Liisa	0		H	sg n
