text	root	ending	clitic	partofspeech	form
Kuslapuule	Kuslapuule	0		H	sg n
jätko	jät	ku		V	gu
jätko	jätk	0		S	adt
jätko	jätk	0		S	sg g
jätko	jätku	0		I	
jätko	jätku	0		V	o
jätko	jätk	0		S	sg p
Vilip	Vilip	0		H	sg n
Voivodi	Voivod	0		H	sg g
käinuvad	käi	sid		V	sid
Sergejev	Sergejev	0		H	sg n
Ivani	Ivan	0		H	sg g
Smirnovi	Smirnov	0		H	sg g
äratalitada	ära_talita	da		V	da
Saveljev	Saveljev	0		H	sg n
Rättaseppa	Rättasepp	0		H	sg g
Lutsian	Lutsian	0		H	sg n
vasto	vastu	0		D	
Feodorovna	Feodorovna	0		H	sg n
Abramov	Abramov	0		H	sg n
Saposchnikovi	Saposchnikov	0		H	sg g
Siimo	Siim	0		H	sg g
Isaak	Isaak	0		H	sg n
Budaschov	Budaschov	0		H	sg n
Sauli	Saul	0		H	sg g
Tehvaniga	Tehvan	ga		H	sg kom
Linde	Linde	0		H	sg n
keriko	kirik	0		S	sg g
Aron	Aron	0		H	sg n
Bodarin	Bodarin	0		H	sg n
Ivanovi	Ivanov	0		H	sg g
Kosloviga	Koslov	ga		H	sg kom
Unuschov	Unuschov	0		H	sg n
pühapaevaks	püha_päev	ks		S	sg tr
Bringvelt	Bringvelt	0		H	sg n
eemala	eemale	0		D	
külasse	külast	sse		H	sg ill
Kusikul	Kusik	l		H	sg ad
Elisaveta	Elisaveta	0		H	sg n
Kononova	Kononova	0		H	sg n
Skorodumov	Skorodumov	0		H	sg n
Anna	Anna	0		H	sg n
Koschov	Koschov	0		H	sg n
Schuravovi	Schuravovi	0		H	sg n
Makei	Makei	0		H	sg n
Rõht	rõht	0		S	sg n
Onrami	Onrami	0		H	sg n
Spiridon	Spiridon	0		H	sg n
rääkinuvad	rääki	sid		V	sid
Potinkov	Potinkov	0		H	sg n
Kondrati	Kondrati	0		H	sg n
sino	sina	0		P	sg g
Käärdi	Käärdi	0		H	sg n
voeraid	võõras	id		A	pl p
vedro	vedru	0		S	sg g
vedro	vedru	0		S	sg n
vedro	vedru	0		S	sg p
Petrov	Petrov	0		H	sg n
Ounapuu	Ounap	0		H	sg g
Sepp	Sepp	0		H	sg n
Pahkiga	Pahkiga	0		H	sg n
valorahaks	valu_raha	ks		S	sg tr
Kromonov	Kromonov	0		H	sg n
Karjus	Karjus	0		H	sg n
Kruutsi	Kruuts	0		H	sg g
Jgnati	Jgnati	0		H	sg n
Hommiko	hommik	0		S	sg g
Rõikakov	Rõikakov	0		H	sg n
Muchin	Muchin	0		H	sg n
Trifon	Trifon	0		H	sg n
Goluhov	Goluhov	0		H	sg n
Roela	Roela	0		H	sg n
raamato	raamat	0		S	sg g
Tavet	Tavet	0		H	sg n
Lahepera	Lahepera	0		H	sg n
Kolkja	Kolkja	0		H	sg n
Tartu	Tartu	0		H	sg n
Kookile	Kookile	0		H	sg n
nenda	nõnda	0		D	
varrastud	varasta	tud		V	tud
Kitov	Kitov	0		H	sg n
Juhanni	Juhanni	0		H	sg n
Kondraschovi	Kondraschov	0		H	sg g
aeal	aeg	l		S	sg ad
Timofejev	Timofejev	0		H	sg n
Marfa	Marfa	0		H	sg n
Pärnile	Pärni	le		H	sg all
Kalevi	Kalevi	0		H	sg n
Vasiljevna	Vasiljevna	0		H	sg n
nõudsivad	nõud	sid		V	sid
Martinson	Martinson	0		H	sg n
Kiselev	Kiselev	0		H	sg n
Rõibakovi	Rõibakov	0		H	sg g
Latte	Latte	0		H	sg n
Savelli	Savelli	0		H	sg n
Abramovi	Abramov	0		H	sg g
Budasehov	Budasehov	0		H	sg n
võtnuvad	võt	sid		V	sid
nõudnuvad	nõud	nuvad		V	nuvad
külast	külast	st		H	sg n
Leschnevit	Leschnev	t		H	sg p
Karsubovile	Karsubov	le		H	sg all
Anton	Anton	0		H	sg n
Kõnnu	Kõnnu	0		H	sg n
Puuts	Puuts	0		H	sg n
Elisaar	Elisaar	0		H	sg n
vastastikko	vastastik	0		A	adt
vastastikko	vastastik	0		A	sg p
vastastikko	vastastikku	0		D	
Tang	Tang	0		H	sg n
Int	Int	0		H	sg n
Koslav	Koslav	0		H	sg n
Pagoti	Pagoti	0		H	sg n
Kirillov	Kirillov	0		H	sg n
Lebedev	Lebedev	0		H	sg n
jalguga	jalg	uga		S	pl kom
Mari	Mari	0		H	sg n
Dementi	Dementi	0		H	sg n
Krasichin	Krasichin	0		H	sg n
kutsunuvad	kutsu	sid		V	sid
kutsunuvad	kutsu	sid		S	pl p
Oue	õu	0		S	sg g
Murasenov	Murasenov	0		H	sg n
Tomkina	Tomkina	0		H	sg n
Johanni	Johanni	0		H	sg n
Rupsi	Rupsi	0		H	sg n
Tikk	Tikk	0		H	sg n
laupaeva	lau_päev	0		S	sg g
Trofim	Trofim	0		H	sg n
Viira	Viira	0		H	sg n
Antonov	Antonov	0		H	sg n
külas	külas	s		H	sg n
Kärner	Kärner	0		H	sg n
Joosep	Joosep	0		H	sg n
Tehvan	Tehvan	0		H	sg n
Naritsa	Narits	0		H	sg g
Lummi	Lumme	0		H	sg n
Vassili	Vassili	0		H	sg n
Alexejev	Alexejev	0		H	sg n
Koslovi	Koslov	0		H	sg g
Dolgaschevile	Dolgaschev	le		H	sg all
Samsonile	Samsonov	le		H	sg all
Kaerile	Kaer	le		H	sg all
leppisivad	leppi	sid		V	sid
Pavlov	Pavlov	0		H	sg n
Indo	Indo	0		H	sg n
Politanov	Politanov	0		H	sg n
Koiduga	Koiduga	ga		H	sg n
Makejev	Makejev	0		H	sg n
P.	P.	0		Y	sg n
Sidarovna	Sidarovna	0		H	sg n
pühapaeva	püha_päev	0		S	sg g
Kiselov	Kiselev	0		H	sg n
