text	root	ending	clitic	partofspeech	form
rääkinod	rääki	nud		V	nud
rääkinod	rääki=nu	d		S	pl n
rääkinod	rääki=nud	0		A	
rääkinod	rääki=nud	0		A	sg n
rääkinod	rääki=nud	d		A	pl n
Marile	Mari	le		H	sg all
Pokka	Pokka	0		H	sg n
Pihlapson	Pihlapson	0		H	sg n
Tompsonnist	Tompson	t		H	sg p
Labus	Labus	0		H	sg n
Jüri	Jüri	0		H	sg n
Ralja	Ralja	0		H	sg n
Kassik	Kassik	0		H	sg n
roovikit	roovik	it		S	pl p
Keik	Keik	0		H	sg n
Karolist	Karolist	st		H	sg n
Ungersonil	Ungerson	l		H	sg ad
kõnelgo	kõnele	gu		V	gu
Tölpile	Tölpi	le		H	sg all
valla	valla	0		H	sg n
Ronnimusele	Ronnimus	le		H	sg all
ajanod	aja	nud		V	nud
ajanod	aja=nu	d		S	pl n
ajanod	aja=nud	0		A	
ajanod	aja=nud	0		A	sg n
ajanod	aja=nud	d		A	pl n
Vaari	Vaari	0		H	sg n
kändo	känd	0		S	adt
kändo	känd	0		S	sg p
Toom	Toom	0		H	sg n
Jakobi	Jakobi	0		H	sg n
Tepman	Tepman	0		H	sg n
Pupsi	Pupsi	0		H	sg n
Rosson	Rosson	0		H	sg n
Liis	Liis	0		H	sg n
Lillen	Lillen	0		H	sg n
saie	saa	ie		V	s
Kokko	kokku	0		D	
Kokko	kogu	0		S	adt
Kulpson	Kulpson	0		H	sg n
Oe	Oe	0		Y	sg n
Unti	Unti	0		H	sg n
tundnod	tund	nud		V	nud
tundnod	tund=nu	d		S	pl n
tundnod	tund=nud	0		A	
tundnod	tund=nud	0		A	sg n
tundnod	tund=nud	d		A	pl n
Karl	Karl	0		H	sg n
nenda	nõnda	0		D	
varastand	varasta	nud		V	nud
varastand	varasta=nu	d		S	pl n
varastand	varasta=nud	0		A	
varastand	varasta=nud	0		A	sg n
varastand	varasta=nud	d		A	pl n
kohto	kohtu	0		V	o
kohto	kohus	0		S	sg g
Almer	Almer	0		H	sg n
Tarto	Tarto	0		H	sg n
Kusta	Kusta	0		H	sg n
Tõlliste	Tõlliste	0		H	sg n
Almiko	Almiko	0		H	sg n
Tepposki	Tepposki	0		H	sg n
Tõnos	Tõnos	0		H	sg n
Pehapi	Pehap	0		H	sg g
ajand	aja	nud		V	nud
ajand	aja=nu	d		S	pl n
ajand	aja=nud	0		A	
ajand	aja=nud	0		A	sg n
ajand	aja=nud	d		A	pl n
kohtole	kohus	le		S	sg all
Noilgo	Noilgo	0		H	sg n
muunod	muu	nud		V	nud
muunod	muu=nu	d		S	pl n
muunod	muu=nud	0		A	
muunod	muu=nud	0		A	sg n
muunod	muu=nud	d		A	pl n
Kässa	Kässa	0		H	sg n
tõisi	tõsi	0		S	sg n
Org	Org	0		H	sg n
olnod	ole	nud		V	nud
Joosep	Joosep	0		H	sg n
müünd	müü	nud		V	nud
müünd	müü=nu	d		S	pl n
müünd	müü=nud	0		A	
müünd	müü=nud	0		A	sg n
müünd	müü=nud	d		A	pl n
lobanod	loba	nud		V	nud
lobanod	loba=nu	d		S	pl n
lobanod	loba=nud	0		A	
lobanod	loba=nud	0		A	sg n
lobanod	loba=nud	d		A	pl n
Mustvee	Mustvee	0		H	sg n
Tõnist	Tõnis	t		H	sg p
ühtekokko	ühte_kokku	0		D	
Ojassoniga	Ojassoniga	ga		H	sg n
kasvatanod	kasvata	nud		V	nud
kasvatanod	kasvata=nu	d		S	pl n
kasvatanod	kasvata=nud	0		A	
kasvatanod	kasvata=nud	0		A	sg n
kasvatanod	kasvata=nud	d		A	pl n
Assori	Assori	0		H	sg n
käsnod	käski	nud		V	nud
Viltmann	Viltmann	0		H	sg n
Ungersoniga	Ungerson	ga		H	sg kom
voi	või	0		J	
Juhan	Juhan	0		H	sg n
maksnod	maks	nud		V	nud
maksnod	maks=nu	d		S	pl n
maksnod	maks=nud	0		A	
maksnod	maks=nud	0		A	sg n
maksnod	maks=nud	d		A	pl n
Viinapuu	Viinapuu	0		H	sg n
Lamsonile	Lamson	le		H	sg all
jago	jagu	0		S	sg n
jago	jagu	0		V	o
jago	jagu	0		S	sg p
Loodist	Loodist	0		H	sg n
Tamm	Tamm	0		H	sg n
Limberg	Limberg	0		H	sg n
Laosson	Laosson	0		H	sg n
praego	praegu	0		D	
Tamme	Tamme	0		H	sg n
Kalbose	Kalbose	0		H	sg n
Kirsing	Kirsing	0		H	sg n
esad	isa	d		S	sp p
Tisleri	Tisleri	0		H	sg n
Viljandi	Viljandi	0		H	sg n
pidanod	pida	nud		V	nud
pidanod	pida=nu	d		S	pl n
pidanod	pida=nud	0		A	
pidanod	pida=nud	0		A	sg n
pidanod	pida=nud	d		A	pl n
Varese	Varese	0		H	sg n
Ungerson	Ungerson	0		H	sg n
Sekkil	Sekk	l		H	sg ad
Kuresaare	Kuresaare	0		H	sg n
