text	root	ending	clitic	partofspeech	form
eila	eile	0		D	
süidlane	süüdlane	0		S	sg n
hobese	hobune	0		S	sg g
Kikerpill	Kikerpill	0		H	sg n
se	see	0		P	sg n
tugge	tuge	0		V	o
tugge	tugi	0		S	sg p
lõiganu	lõika	nud		V	nud
lõiganu	lõiga=nu	d		S	pl n
lõiganu	lõiga=nud	0		A	
lõiganu	lõiga=nud	0		A	sg n
lõiganu	lõiga=nud	d		A	pl n
veddama	veda	ma		V	ma
sissemaksma	sisse_maks	ma		V	ma
vinu	vii	nud		V	nud
vinu	vii=nu	d		S	pl n
vinu	vii=nud	0		A	
vinu	vii=nud	0		A	sg n
vinu	vii=nud	d		A	pl n
hoidnu	hoid	nud		V	nud
hoidnu	hoid=nu	d		S	pl n
hoidnu	hoid=nud	0		A	
hoidnu	hoid=nud	0		A	sg n
hoidnu	hoid=nud	d		A	pl n
piddada	pida	da		V	da
Paggeja	page=ja	0		S	sg g
Paggeja	page=ja	0		S	sg n
koolimaias	kooli_maja	s		S	sg in
saatnu	saat	nud		V	nud
saatnu	saat=nu	d		S	pl n
saatnu	saat=nud	0		A	
saatnu	saat=nud	0		A	sg n
saatnu	saat=nud	d		A	pl n
Jakop	Jakob	0		H	sg n
väljatulli	välja_tule	i		V	s
pakkonod	pakku	nud		V	nud
pakkonod	pakku=nu	d		S	pl n
pakkonod	pakku=nud	0		A	
pakkonod	pakku=nud	0		A	sg n
pakkonod	pakku=nud	d		A	pl n
kabbeli	kabel	0		S	sg g
kadunu	kadu	nud		V	nud
kadunu	kadunu	d		S	pl n
kadunu	kadunud	0		A	
kadunu	kadunud	0		A	sg n
kadunu	kadunud	d		A	pl n
nakanu	hakka	nud		V	nud
nakanu	haka=nu	d		S	pl n
nakanu	haka=nud	0		A	
nakanu	haka=nud	0		A	sg n
nakanu	haka=nud	d		A	pl n
väljavõtnud	välja_võt	nud		V	nud
moisavalitseja	mõisa_valitseja	0		S	sg g
moisavalitseja	mõisa_valitseja	0		S	sg n
1½	1½	0		N	?
Taniel	Taniel	0		H	sg n
3½	3½	0		N	?
annud	and	nud		V	nud
annud	and=nu	d		S	pl n
annud	and=nud	0		A	
annud	and=nud	0		A	sg n
annud	and=nud	d		A	pl n
veddamise	vedamine	0		S	sg g
reddelit	redel	t		S	sg p
Roobel	Roobel	0		H	sg n
tunnistanu	tunnista	nud		V	nud
tunnistanu	tunnista=nu	d		S	pl n
tunnistanu	tunnista=nud	0		A	
tunnistanu	tunnista=nud	0		A	sg n
tunnistanu	tunnista=nud	d		A	pl n
kinnitanu	kinnita	nud		V	nud
kinnitanu	kinnita=nu	d		S	pl n
kinnitanu	kinnita=nud	0		A	
kinnitanu	kinnita=nud	0		A	sg n
kinnitanu	kinnita=nud	d		A	pl n
käinu	käi	nud		V	nud
käinu	käi=nud	0		A	
käinu	käi=nud	0		A	sg n
käinu	käi=nud	d		A	pl n
käinu	käinu	d		S	pl n
rechnungi	rehnung	0		S	sg g
kaddunu	kadu	nud		V	nud
kaddunu	kadunu	d		S	pl n
kaddunu	kadunud	0		A	
kaddunu	kadunud	0		A	sg n
kaddunu	kadunud	d		A	pl n
täitnu	täit	nud		V	nud
täitnu	täit=nu	d		S	pl n
täitnu	täit=nud	0		A	
täitnu	täit=nud	0		A	sg n
täitnu	täit=nud	d		A	pl n
lubbatu	lubatu	0		A	sg g
lubbatu	lubatud	0		A	sg g
lubbatu	lubatu	0		A	sg n
sittaveddamisse	sitta_vedamine	se		S	adt
kubbu	kubu	0		S	sg g
kubbu	kubu	0		S	sg n
kubbu	kubu	0		S	sg n
kubbu	kubu	0		S	sg p
kubbu	kubu	0		S	sg p
Rommel	Rommel	0		H	sg n
lasep	lask	b		V	b
moistis	mõist	is		V	s
kübbarad	kübar	d		S	pl n
odre	oder	i		S	pl p
