text	root	ending	clitic	partofspeech	form
ollete	ole	te		V	te
Purts	Purts	0		H	sg n
Livak	Livak	0		H	sg n
Laiwa	Laiwa	0		H	sg n
Priks	Priks	0		H	sg n
Reimandist	Reimand	t		H	sg p
Laiva	Laiva	0		H	sg n
Karjamaalt	Karjamaalt	lt		H	sg n
Elleri	Eller	0		H	sg g
Lanson	Lanson	0		H	sg n
Priksil	Priks	l		H	sg ad
taggasi	tagasi	0		D	
Mai	Mai	0		H	sg n
Koigole	Koigo	le		H	sg all
Möldre	Möldre	0		H	sg n
Karel	Karel	0		H	sg n
tulna	tule	na		V	vat
Truusist	Truus	t		H	sg p
lännu	mine	nu		V	nud
tulnuva	tule	nuva		V	nuvad
Urtheils	Urtheil	0		H	sg g
sedda	see	0		P	sg p
Laursonil	Laursonil	l		H	sg n
Reinholdiga	Reinhold	ga		H	sg kom
Abstimmung	Abstimmung	0		H	sg n
Sakarias	Sakarias	0		H	sg n
Kämmara	Kämmara	0		H	sg n
Kuusik	Kuusik	0		H	sg n
Bajo	Bajo	0		H	sg n
Stam	Stam	0		H	sg n
Nadel	Nadel	0		H	sg n
Murru	Murru	0		H	sg n
Jurri	Jurri	0		H	sg n
rahhast	raha	st		S	sg el
Jaak	Jaak	0		H	sg n
Bregs	Bregs	0		H	sg n
Peetri	Peetri	0		H	sg n
ülles	üles	0		D	
Karjapois	Karjapois	0		H	sg n
Reimann	Reimand	0		H	sg n
maksjatte	maksja	te		S	pl g
Josep	Josep	0		H	sg n
Gemeindeurtheils	Gemeinde	0		H	sg g
Sepp	Sepp	0		H	sg n
Vedleril	Vedler	l		H	sg ad
Kusk	Kusk	0		H	sg n
lüia	löö	a		V	da
KOhto	KOhto	0		H	sg n
Kolk	Kolk	0		H	sg n
Lohoarro	Lohoarro	0		H	sg n
moista	mõist	0		V	da
Laiwaschen	Laiwa	0		H	sg g
Jaans	Jaans	0		H	sg n
Villem	Villem	0		H	sg n
pearahha	pea_raha	0		S	sg g
Koik	Koik	0		H	sg n
Gemeinde	Gemeinde	0		H	sg n
Rein	Rein	0		H	sg n
Rivesi	Rives	0		H	sg g
Luhsing	Luhsing	0		H	sg n
Kurrelätsest	Kurrelätsest	st		H	sg n
agga	aga	0		J	
Orge	Orge	0		H	sg n
vöörmündred	vöör_münder	0		S	sg n
Soldat	Soldat	0		H	sg n
kudda	kuidas	o		D	
Laas	Laas	0		H	sg n
