text	root	ending	clitic	partofspeech	form
Sagor	Sagor	0		H	sg n
Fanny	Fanny	0		H	sg n
Veikesen	Veikesen	0		H	sg n
lubbato	luba	to		V	tud
'	’			H	
Holzmann	Holzmann	0		H	sg n
Tamm	Tamm	0		H	sg n
middagi	miski	dagi		P	sg p
käijadel	käija	del		S	pl ad
Keiserlikko	Keiserlikko	0		H	sg n
kaino	käi	no		V	nud
Grünfeldti	Grünfeldt	0		H	sg g
Köstre	Köster	0		H	sg n
Rosnefeldt	Rosnfeldt	t		H	sg p
massab	maks	b		V	b
Türk	Türk	0		H	sg n
Eiehelmann	Eiehelmann	0		H	sg n
Dehni	Dehni	0		H	sg n
köik	kõik	0		P	pl n
Bartels	Bartels'si	0		H	sg n
Jaanile	Jaan	le		H	sg all
Dehniga	Dehni	ga		H	sg kom
anto	and	to		V	tud
Petter	Petter	0		H	sg n
Andrest	Andres	t		H	sg p
Jukka	Jukka	0		H	sg n
Peeb	Peeb	0		H	sg n
Palloperra	Palloperra	0		H	sg n
Luik	Luik	0		H	sg n
Kolbergil	Kolbergi	l		H	sg ad
lut	lut	0		Y	?
Kartolid	Kartolid	d		H	sg n
tuvva	too	a		V	da
Juhansoni	Juhan	0		H	sg g
arvarta	arvata	0		D	
löikaminne	lõikamine	0		S	sg n
Päsokenne	Päsokene	0		H	sg g
vanger	vanker	0		S	sg n
Johanson	Johan	0		H	sg g
Röngost	Röngost	0		H	sg n
Park	Park	0		H	sg n
kuhhi	kuhi	0		S	sg n
Tina	Tina	0		H	sg n
omma	oma	0		P	sg g
Räst	Räst	0		H	sg n
kirjotano	kirjuta	no		V	nud
Zolk	Zolk	0		H	sg n
Rbl	Rbl	0		H	sg n
lutre	luteri	0		G	
Maij	Maij	0		H	sg n
Poija	Poija	0		H	sg n
Eichelmanni	Eichelmann	0		H	sg g
massa	maks	a		V	da
Sarnik	Sarnik	0		H	sg n
Daniel	Daniel	0		H	sg n
Süüallutses	Süüallutses	s		H	sg n
Löötsapill	Löötsapill	0		H	sg n
Vittmann	Vittmann	0		H	sg n
Söödil	Söödil	0		H	sg n
Haggijas	Haggijas	0		H	sg n
veddamminne	vedamine	0		S	sg n
Juudit	Juudit	0		H	sg n
pöimno	põimi	no		V	nud
rööa	rüga	0		S	sg g
Dreybladtil	Dreybladt	l		H	sg ad
öppetajale	õpetaja	le		S	sg all
Täkkole	Täkk	le		H	sg all
Kristjan	Kristjan	0		H	sg n
Luikal	Luik	l		H	sg ad
köhn	kõhn	0		A	sg n
May	May	0		H	sg n
Rublat	Rublat	0		H	sg n
pidda	pida	0		V	b
täl	tema	l		P	sg ad
Jaakob	Jaakob	0		H	sg n
Luika	Luik	0		H	sg g
Vöölmundri	Vöölmundri	0		H	sg n
möisan	mõis	n		S	sg in
Hendrik	Hendrik	0		H	sg n
Mihkel	Mihkel	0		H	sg n
Vöölmündri	Vöölmünder	0		H	sg n
lävve	lävi	0		S	sg g
käess	käes	0		K	
Patsile	Patsile	0		H	sg n
Täkko	Täkko	0		H	sg n
temmale	tema	le		P	sg all
Johansoni	Johan	0		H	sg g
pooleterra	poole_tera	0		S	sg g
Kultsepp	Kultsepp	0		H	sg n
pidanova	pida	nova		V	nuvad
vakkamaa	vaka_maa	0		S	sg n
Tartu	Tarto	0		H	sg n
Hendrikole	Hendrik	le		H	sg all
nöut	nõud	0		V	s
ollo	ole	lo		V	nud
karjos	karjus	0		S	sg n
Anton	Anton	0		H	sg n
vel	veel	0		D	
höigust	õigus	t		S	sg p
Johhan	Johhan	0		H	sg n
Eichelmann	Eichelmann	0		H	sg n
Jürripäival	Jürripäival	0		H	sg n
köhnaste	kõhnasti	0		D	
Teodor	Teodor	0		H	sg n
Mülleri	Mülleri	0		H	sg n
ühhe	üks	0		N	sg g
Köiv	Köiv	0		H	sg n
Jan	Jan	0		H	sg n
Puuritz	Puuritz	0		H	sg n
Tiina	Tiina	0		H	sg n
vak	vakk	0		S	sg n
Akrest	Akrest	0		H	sg n
Kohhus	Kohhus	0		H	sg n
Vutt	Vutt	0		H	sg n
Oorg	Oorg	0		H	sg n
Rämmalt	Rämma	t		H	sg p
manno	manu	0		K	
Märt	Märt	0		H	sg n
Rehhen	Rehhe	0		H	sg g
Kaarli	Kaarli	0		H	sg n
Peterbori	Peterbori	0		H	sg n
Hasplil	Haspel	l		H	sg ad
päiva	päev	0		S	sg g
Pornusen	Pornusse	0		H	sg n
Juust	Juust	0		H	sg n
Kaatj	Kaatj	0		H	sg n
Luchs	Luchs	0		H	sg n
Söödile	Söödil	le		H	sg all
Rijan	Rijan	0		H	sg n
Mikk	Mikk	0		H	sg n
Luchsile	Luchs	le		H	sg all
Cop	Cop	0		H	sg n
mahha	maha	0		D	
Kirrepi	Kirrepi	0		H	sg n
Oijasooni	Oijason	0		H	sg g
Räma	Räma	0		H	sg n
Retsnikule	Retsnik	le		H	sg all
Johannson	Johan	0		H	sg g
Maija	Maija	0		H	sg n
masnova	maks	nova		V	nuvad
Johannsonil	Johan	l		H	sg ad
hobbese	hobune	0		S	sg g
Karjamoisa	Karjamoisa	0		H	sg n
vangrega	vanker	ga		S	sg kom
Johanso	Johannson	0		H	sg g
Maksil	Maks	l		H	sg ad
Buschmann	Buschmann	0		H	sg n
hoitma	hoid	ma		V	ma
Pill	Pill	0		H	sg n
raijoma	raiu	ma		V	ma
öppetaja	õpetaja	0		S	sg g
Parolil	Parol	l		H	sg ad
Rosenfeldi	Rosenfeldi	0		H	sg n
Andress	Andress	0		H	sg n
Emma	Emma	0		H	sg n
Rosmanni	Rosmanni	0		H	sg n
körd	kord	0		S	sg n
nitmisse	niitmine	0		S	sg g
olno	ole	no		V	nud
selletab	seleta	b		V	b
Mutsit	Mutsit	0		H	sg n
Jarro	Jarro	0		H	sg n
Antipovile	Antipov	le		H	sg all
niitus	niit	us		V	nud tr
Matsi	Mats	0		H	sg g
vakkamad	vaka_maa	d		S	sg p
Rätseppa	Rätseppa	0		H	sg n
ristikheino	ristik_hein	o		S	pl p
Villem	Villem	0		H	sg n
Moskva	Moskva	0		H	sg n
Puurits	Puurits	0		H	sg n
Quintil	Quint	l		H	sg ad
Jüri	Jüri	0		H	sg n
Quint	Quint	0		H	sg n
Mätz	Mätz	0		H	sg n
Buschmannile	Buschmann	le		H	sg all
Essa	Essa	0		H	sg n
Mutsi	Mutsi	0		H	sg n
sis	siis	0		J	
hobbene	hobune	0		S	sg n
hommingo	hommikul	0		D	
Simon	Simon	0		H	sg n
Leppa	Leppa	0		H	sg n
Sössar	Sössar	0		H	sg n
Numri	Numri	0		H	sg n
kül	küll	0		D	
Kürvitz	Kürvits	0		H	sg n
selleman	selle_man	0		D	
Turk	Turk	0		H	sg n
Johan	Johan	0		H	sg n
hobbeste	hobune	te		S	pl g
Eichelman	Eichelman	0		H	sg n
Rijast	Rijan	t		H	sg p
Rija	Rija	0		H	sg n
Röngon	Röngon	0		H	sg n
Briinige	Briinige	0		H	sg n
selletado	seleta	do		V	tud
Eisenschmidt	Eisenschmidt	0		H	sg n
Sössarad	Sössara	d		H	sg g
mes	mis	0		P	sg n
Kuldsepa	Kuldsepp	0		H	sg n
Villo	Villo	0		H	sg n
Varblane	Varblane	0		H	sg n
kutsoto	kutsu	to		V	tud
Tolm	Tolm	0		H	sg n
Antipov	Antipov	0		H	sg n
Rosenfeldist	Rosenfeldt	t		H	sg p
Beschlag	Beschlag	0		H	sg n
Oder	Oder	0		H	sg n
hoitno	hoid	no		V	nud
Rükkinurm	Rükkinurm	0		H	sg n
rijan	Riia	n		H	sg in
Väiksest	Väiksest	st		H	sg n
Johannsonile	Johan	le		H	sg all
Küffel	Küffel	0		H	sg n
Rehhevallitseja	Rehhe	0		H	sg g
länno	mine	no		V	nud
käinova	käi	nova		V	nuvad
pallosit	palu	sit		V	sid
üits	üks	0		N	sg n
Kirstjaan	Kirstjaan	0		H	sg n
Oijason	Oijason	0		H	sg n
Oijasonile	Oijason	le		H	sg all
Tiksi	Tiks	0		H	sg g
tarviss	tarvis	0		K	
rükka	rüga	0		S	sg p
Januaris	Januaris	0		H	sg n
Jöuloni	Jöuloni	0		H	sg n
veddano	veda	no		V	nud
Pornusse	Pornusse	sse		H	sg n
Mai	Mai	0		H	sg n
Puuritse	Puurits	0		H	sg g
päiv	päev	0		S	sg n
Tulle	Tulle	0		H	sg n
Schorochovi	Schorochovi	0		H	sg n
Parrolile	Parrol	le		H	sg all
Oijasoni	Oijason	0		H	sg g
ütlep	ütle	p		V	b
ülless	üles	0		D	
Möts	Möts	0		H	sg n
Briininge	Briinige	0		H	sg g
Poig	Poig	0		H	sg n
Söötile	Sööt	le		H	sg all
Latset	Latset	0		H	sg n
Feodor	Feodor	0		H	sg n
Rossmanni	Rossmann	0		H	sg g
Peeter	Peeter	0		H	sg n
Juhann	Juhan	0		H	sg g
rahho	rahul	0		D	
Kubbermango	Kubbermango	0		H	sg n
Poolpäiva	Poolpäiva	0		H	sg n
sääduslikko	seaduslik	0		A	sg g
Jaak	Jaak	0		H	sg n
Grünfeldt	Grünfeldt	0		H	sg n
Blanken	Blanken	0		H	sg n
Päts	Päts	0		H	sg n
Hahni	Hahn	0		H	sg g
Tääk	Tääk	0		H	sg n
töstno	tõst	no		V	nud
Rämman	Rämma	0		H	sg g
Täkkol	Täkk	l		H	sg ad
Juula	Juula	0		H	sg n
Gustav	Gustav	0		H	sg n
kuikatsist	Kuigatsi	st		H	sg el
