text	root	ending	clitic	partofspeech	form
Lust	Lust	0		H	sg n
eesaija	ees_aed	0		S	sg g
pikkosid	pikkune	id		A	pl p
Peter	Peter	0		H	sg n
Kentsi	Kentsi	0		H	sg n
koddo	kodu	0		S	sg in
P.	P.	0		Y	sg n
Jersen	Jersen	0		H	sg n
Kasp	Kasp	0		H	sg n
Ott	Ott	0		H	sg n
Zepper	Zepper	0		H	sg n
loidno	leid	nu		V	nud
Moisa	Moisa	0		H	sg n
Kaebtossen	Kaebtossen	0		H	sg n
sano	saa	nu		V	nud
Tikkop	Tikkop	0		H	sg n
essi	ise	0		P	sg n
kündre	küünar	0		S	sg g
Karl	Karl	0		H	sg n
kohto	kohus	0		S	sg g
Põdral	Põdral	0		H	sg n
Oina	Oina	0		H	sg n
Kihkonna	Kihkonna	0		H	sg n
Tarto	Tarto	0		H	sg n
Kõrtsimees	Kõrtsimees	0		H	sg n
Ann	Ann	0		H	sg n
Käiji	Käiji	0		H	sg n
Kangede	Kangede	0		H	sg n
Kustest	Kustest	0		H	sg n
Perrisostja	Perrisostja	0		H	sg n
Kulutetu	Kulutetu	0		H	sg n
kõivo	kõiv	0		S	sg g
Hans	Hans	0		H	sg n
S.	S.	0		Y	sg n
Andersoniga	Anderson	ga		H	sg kom
Kusta	Kusta	0		H	sg n
piddano	pida	nu		V	nud
Schreiner	Schreiner	0		H	sg n
ni	see	0		P	pl n
Kõttuli	Kõttuli	0		H	sg n
Peldt	Peldt	0		H	sg n
Michelson	Michelso	0		H	sg g
Hendr	Hendr	0		H	sg n
päl	peal	0		K	
Thomas	Thomas	0		H	sg n
Kahjo	Kahjo	0		H	sg n
Jakob	Jakob	0		H	sg n
jures	juures	0		K	
Tavi	Tavi	0		H	sg n
Peldti	Peldt	0		H	sg g
Närska	Närska	0		H	sg n
satis	saat	s		V	s
Kirri	Kirri	0		H	sg n
Käen	Käen	0		H	sg n
Johann	Johann	0		H	sg n
Ketto	Ketto	0		H	sg n
sedda	see	da		P	sg p
Toffer	Toffer	0		H	sg n
Kevvadeni	Kevvade	deni		H	sg g
Andrei	Andrei	0		H	sg n
III	III	0		H	sg n
Mäelook	Mäelook	0		H	sg n
perra	perra	0		K	
Laursoni	Laurson	0		H	sg g
tenno	tege	nu		V	nud
sülletäis	süle_täis	0	S	sg n	
Kasso	Kasso	0		H	sg n
Rannost	Rannost	0		H	sg n
Milli	Milli	0		H	sg n
Michkel	Michel	l		H	sg ad
kaeto	kae	tu		V	tud
Laurson	Laurson	0		H	sg n
Kobbile	Kobbile	0		H	sg n
Kaubelno	Kaubelno	0		H	sg n
Vatsa	Vatsa	0		H	sg n
Laursonile	Laurson	le		H	sg all
Luht	Luht	0		H	sg n
Kakovits	Kakovits	0		H	sg n
temma	tema	0		P	sg n
Kopsole	Kopsole	0		H	sg n
Kullono	Kullono	0		H	sg n
Terraverre	Terraverre	0		H	sg n
Adamsoo	Adamsoo	0		H	sg n
andno	and	nu		V	nud
Laasi	Laasi	0		H	sg n
Sova	Sova	0		H	sg n
Adamson	Adamson	0		H	sg n
Tamme	Tamme	0		H	sg n
Lehhes	Lehhes	0		H	sg n
Rämm	Rämm	0		H	sg n
Bömmann	Bömmann	0		H	sg n
Hansenberg	Hansenberg	0		H	sg n
Konni	Konni	0		H	sg n
Kaskad	Kask	d		H	sg g
Entmannile	Entmann	le		H	sg all
Kaebtussen	Kaebtussen	0		H	sg n
Koggokonna	Koggokonna	0		H	sg n
Tammin	Tammin	0		H	sg n
J.	J.	0		Y	sg n
anto	and	tu		V	tud
Kõrtsin	Kõrtsin	0		H	sg n
Tikkap	Tikkop	0		H	sg n
säl	seal	0		D	
Käeggo	Käeggo	0		H	sg n
Suima	Suima	0		H	sg n
Veikse	Veikse	0		H	sg n
Toos	Toos	0		H	sg n
Püffel	Püffel	0		H	sg n
Peets	Peets	0		H	sg n
Taminile	Tamingo	le		H	sg all
Kapposta	Kapposta	0		H	sg n
Kartoli	Kartoli	0		H	sg n
H.	H.	0		Y	sg n
Vahlbergil	Vahlberg	l		H	sg ad
Messikap	Messikap	0		H	sg n
Koritsele	Koritsele	le		H	sg n
Kässo	Kässo	0		H	sg n
vallitsusse	valitsus	0		S	sg g
veikest	väike	t		S	sg p
hava	haab	0		S	sg g
Juku	Juku	0		H	sg n
Kobbilo	Kobbilo	0		H	sg n
Kulla	Kulla	0		H	sg n
Korits	Korits	0		H	sg n
Pärt	Pärt	0		H	sg n
Pehter	Pehter	0		H	sg n
Saksjugole	Saksjugo	le		H	sg all
Kasar	Kasan	0		H	sg n
Kambsuni	Kambsuni	0		H	sg n
hobbose	hobune	0		S	sg g
Kreet	Kreet	0		H	sg n
Völmönder	Völmönder	0		H	sg n
Hendrikson	Hendrik	0		H	sg g
Marri	Marri	0		H	sg n
paljo	palju	0		D	
Kap	Kap	0		H	sg n
Kaubelda	Kaubelda	da		H	sg n
Vatsaga	Vatsa	ga		H	sg kom
jäno	jää	nu		V	nud
pik	pikk	0		A	sg n
Oinas	Oina	0		H	sg g
I.Sunni	I.Sunni	0		H	sg n
Meltser	Meltser	0		H	sg n
mehhe	mees	0		S	sg g
Kasan	Kasan	0		H	sg n
Tomas	Tomas	0		H	sg n
Kurrikoga	Kurrik	ga		H	sg kom
Kohto	kohus	0		S	sg g
jubba	juba	0		D	
Kerko	Kerko	0		H	sg n
Saksjugo	Saksjugo	0		H	sg n
Vaht	Vaht	0		H	sg n
Vacht	Vacht	0		H	sg n
mahha	maha	0		D	
Bergmanni	Bergmann	0		H	sg g
Kongota	Kongota	ta		H	sg n
M.	M.	0		Y	sg n
Pedi	Pedi	0		H	sg n
Meri	Meri	0		H	sg n
Hendrik	Hendrik	0		H	sg n
Kohhud	kohus	d		S	sg p
Volmönder	Volmönder	0		H	sg n
Põdder	Põdder	0		H	sg n
kässo	käsk	0		S	sg g
Goldhammer	Goldhammer	0		H	sg n
Ülle	Ülle	0		H	sg n
kelo	keeld	0		S	sg g
Kaupmehhe	Kaupmehhe	0		H	sg n
Tikkopile	Tikkop	le		H	sg all
asjan	asi	n		S	sg in
Jörgensis	Jörg	0		H	sg g
om	ole	0		V	b
Karristeto	Karristeto	0		H	sg n
haggo	hagu	0		S	sg p
Merist	Meri	t		H	sg p
Masik	Masik	0		H	sg n
Küivits	Küivits	0		H	sg n
kündra	küünar	0		S	sg g
Anderson	Anderson	0		H	sg n
kutsoto	kutsu	tu		V	tud
pakko	pakk	0		S	pl n
Kasanil	Kasan	l		H	sg ad
Kaebaja	Kaebaja	0		H	sg n
olli	ole	i		V	s
päivas	päev	s		S	sg tr
Vallavannemb	Vallavannemb	0		H	sg n
Bonmann	Bonmann	0		H	sg n
Takki	Takki	0		H	sg n
olle	ole	0		V	o
tulleva	tulev	0		A	sg g
Kõrvalisse	Kõrvalisse	se		H	sg n
Kakunu	Kakunu	0		H	sg n
Matto	Matto	0		H	sg n
Märt	Märt	0		H	sg n
müidu	müü	du		V	tud
Käino	Käino	0		H	sg n
Kevvade	Kevvade	0		H	sg n
Tikkopi	Tikkop	0		H	sg g
Kohtomees	kohtu_mees	0		S	sg n
Norden	Norden	0		H	sg n
künar	küünar	0		S	sg n
Käest	Käest	0		H	sg n
Rätseppaga	Rätsep	ga		H	sg kom
Raps	Raps	0		H	sg n
üttelno	ütle	nu		V	nud
Kroon	Kroon	0		H	sg n
Jungmann	Jungmann	0		H	sg n
Kündmadda	Künda	0		H	sg g
moisteto	mõist	tu		V	tud
Vahlberg	Vahlberg	0		H	sg n
Kaddajale	Kaddaja	le		H	sg all
Kaup	Kaup	0		H	sg n
Tengal	Tengal	0		H	sg n
löidno	leid	nu		V	nud
