text	root	ending	clitic	partofspeech	form
Orgu	Orgu	0		H	sg n
Nigula	Nigul	0		H	sg g
Kras	Kras	0		H	sg n
Libbe	Libbe	0		H	sg n
Jänes	Jänes	0		H	sg n
kohus	kohus	0		H	sg n
kahjo	kahi	0		S	adt
kahjo	kahi	0		S	sg g
kahjo	kahi	0		S	sg p
kahjo	kahju	0		S	sg g
kahjo	kahju	0		S	sg n
kahjo	kahju	0		S	sg p
Petersell	Petersell	0		H	sg n
Köster	Köster	0		H	sg n
Reile	Reile	0		H	sg n
vasto	vastu	0		D	
vasto	vastu	0		K	
Kreis	Kreis	0		H	sg n
Ketner	Ketner	0		H	sg n
Krass	Krass	0		H	sg n
Lanemani	Laneman	0		H	sg g
pää	pea	0		S	sg g
Margus	Margus	0		H	sg n
Pedajale	Pedajas	le		H	sg all
Puskar	Puskar	0		H	sg n
Peekmani	Peekmani	0		H	sg n
Harra	Harra	0		H	sg n
Paulmanni	Paulmanni	0		H	sg n
Kikkaga	Kikkas	ga		H	sg kom
Sillal	Silla	l		H	sg ad
Andresson	Andresson	0		H	sg n
Anna	Anna	0		H	sg n
Jaanussele	Jaan	le		H	sg all
Ilmatsalu	Ilmatsal	0		H	sg g
Perast	pärast	0		D	
Johansoni	Johanson	0		H	sg g
Käärik	Käärik	0		H	sg n
Gromovil	Gromov	l		H	sg ad
pööningo	pööning	0		S	sg g
Pastak	Pastak	0		H	sg n
Petrov	Petrov	0		H	sg n
Rump	Rump	0		H	sg n
Keiserlik	Keiserlik	0		H	sg n
Sepp	Sepp	0		H	sg n
Kammerist	Kammerist	st		H	sg n
Ohnal	Ohna	l		H	sg ad
Juuriku	Juurik	0		H	sg g
Lõhmussele	Lõhmus	le		H	sg all
Sassi	Sassi	0		H	sg n
Kallassele	Kallas	le		H	sg all
Manus	Manus	0		H	sg n
Narmas	Narmas	0		H	sg n
mo	mina	0		P	sg g
Leesikule	Leesik	le		H	sg all
Raansist	Raansist	0		H	sg n
Herrmannil	Herrmann	l		H	sg ad
Laas	Laas	0		H	sg n
palito	palitu	0		S	sg g
palito	palitu	0		S	sg n
põrmandu	põrand	0		S	sg g
Kenkmaniga	Kenkmann	ga		H	sg kom
Juri	Juri	0		H	sg n
Joostile	Joost	le		H	sg all
Paursonile	Paurson	le		H	sg all
Beckmann	Beckmann	0		H	sg n
Hermanni	Hermann	0		H	sg g
Kristjani	Kristjani	0		H	sg n
Lukkel	Lukke	l		H	sg ad
Peets	Peets	0		H	sg n
Egloni	Eglon	0		H	sg g
Tammissaar	Tammissaar	0		H	sg n
Igelströmi	Igelströmi	0		H	sg n
Revold	Revold	0		H	sg n
Kiriko	Kiriko	0		H	sg n
Velber	Velber	0		H	sg n
kodo	kodu	0		S	sg g
kodo	kodu	0		S	sg n
kodo	kodu	0		S	sg p
Teppor	Teppor	0		H	sg n
Lindemannile	Lindemann	le		H	sg all
kando	kand	u		S	pl p
kando	kandu	0		V	o
oln	ole	n		V	nud
Janus	Janus	s		H	sg n
A.Sass	A.Sass	0		H	sg n
Mari	Mari	0		H	sg n
Niggula	Niggul	0		H	sg g
Andressoni	Andresson	0		H	sg g
laadiko	laadik	0		S	sg g
Pillal	Pillal	0		H	sg n
Ketneri	Ketner	0		H	sg g
Timmerman	Timmerman	0		H	sg n
Lõgmusse	Lõgmusse	0		H	sg n
Munni	Munni	0		H	sg n
Kanzveile	Kanzveile	0		H	sg n
valitsus	valitsus	0		H	sg n
Duckershof	Duckershof	0		H	sg n
Luks	Luks	0		H	sg n
Andreson	Andreson	0		H	sg n
moisa	mõis	0		S	sg ill
Paade	Paade	0		H	sg n
Jaanson	Jaanson	0		H	sg n
Rami	Rami	0		H	sg n
Jaan	Jaan	0		H	sg n
Gromovi	Gromov	0		H	sg g
latvo	latv	u		S	pl p
valla	valla	0		H	sg n
Nahkrut	Nahkru	t		H	sg p
Kammeri	Kammeri	0		H	sg n
naene	naine	0		S	sg n
Reial	Reial	0		H	sg n
Peter	Peter	0		H	sg n
Samuel	Samul	l		H	sg ad
P.	P.	0		Y	sg n
moisade	mõis	de		S	sg ill
Manusse	Manusse	sse		H	sg n
Rei	Rei	0		H	sg n
Manussele	Manus	le		H	sg all
Plaksi	Plaks	0		H	sg g
kohtule	kohtule	le		H	sg n
Salomini	Salomin	0		H	sg g
Niggulil	Niggul	l		H	sg ad
Kulpson	Kulpson	0		H	sg n
Volmer	Volmer	0		H	sg n
Müllersoni	Müllerson	0		H	sg g
Karl	Karl	0		H	sg n
kohto	kohtu	0		V	o
kohto	kohus	0		S	sg g
kaotand	kaota	nud		V	nud
kaotand	kaota=nu	d		S	pl n
kaotand	kaota=nud	0		A	
kaotand	kaota=nud	0		A	sg n
kaotand	kaota=nud	d		A	pl n
Jakubi	Jakubi	0		H	sg n
Paul	Paul	0		H	sg n
Tarto	Tarto	0		H	sg n
Ropkast	Ropka	t		H	sg p
valda	valda	0		H	sg n
Trey	Trey	0		H	sg n
Praksi	Praksi	0		H	sg n
Pukka	Pukka	0		H	sg n
Kusta	Kusta	0		H	sg n
Verevi	Verevi	0		H	sg n
Lukkelt	Lukkelt	0		H	sg n
vallast	vallast	st		H	sg n
Herra	Herra	0		H	sg n
Väike-Rõngust	Väike-Rõngust	0		H	sg n
Loorits	Loorits	0		H	sg n
Järriste	Järriste	0		H	sg n
Kärneri	Kärner	0		H	sg g
Kõrtsimehe	Kõrtsimehe	0		H	sg n
pooti	pood	0		S	sg ill
Elias	Elias	0		H	sg n
Jakob	Jakob	0		H	sg n
pääl	peal	0		K	
Timermanile	Timermanni	le		H	sg all
August	August	0		H	sg n
Treierile	Treierile	0		H	sg n
tänavo	tänavu	0		D	
tunnistud	tunnista	tud		V	tud
saatko	saat	ku		V	gu
