text	root	ending	clitic	partofspeech	form
Kukkemelgil	Kukkemelk	l		H	sg ad
Minski	Minski	0		H	sg n
Kiho	Kiho	0		H	sg n
Malkohvist	Malkov	t		H	sg p
Andersoon	Anderson	0		H	sg g
H.	H.	0		Y	sg n
perandajade	päranda=ja	de		S	pl g
Keeramann	Keermann	0		H	sg g
Ann	Ann	0		H	sg n
Ohlman	Ohlman	0		H	sg n
Kehn	Kehn	0		H	sg n
kos	kus	0		D	
Ronk	Ronk	0		H	sg n
perijad	pärija	d		S	pl n
Loskiti	Loskit	0		H	sg g
Keids	Keids	0		H	sg n
Suuremäe	Suuremäe	0		H	sg n
Kihn	Kihn	0		H	sg n
Saar	Saar	0		H	sg n
Halzmann	Halzmann	0		H	sg n
J.	J.	0		Y	sg n
sõsaril	sõsar	il		S	pl ad
Krootman	Krootman	0		H	sg n
Pedajas	Pedajas	0		H	sg n
vöölmönder	vöörmünder	0		S	sg n
Raali	Raali	0		H	sg n
Visnapuu	Visnapuu	0		H	sg n
Tillissoni	Tillisson	0		H	sg g
Minksi	Minksi	0		H	sg n
Tillissonil	Tillison	l		H	sg ad
Rõngu	Rõngu	0		H	sg n
Pooman	Pooman	0		H	sg n
Sammuli	Sammul	0		H	sg g
Luhaart	Luha	t		H	sg p
valla	valla	0		H	sg n
tähentud	tähenda	tud		V	tud
Keeri	Keeri	0		H	sg n
Vosse	Vosse	0		H	sg n
Tihane	Tihane	0		H	sg n
V.	V.	0		Y	sg n
Tobru	Tobru	0		H	sg n
Anna	Anna	0		H	sg n
Tillison	Tillison	0		H	sg n
Ohlmann	Ohlman	0		H	sg g
Kihvasselt	Kihvasse	t		H	sg p
Dbergi	Dbergi	0		H	sg n
Tomming	Tomming	0		H	sg n
Kadri	Kadri	0		H	sg n
Peter	Peter	0		H	sg n
Kentsi	Kentsi	0		H	sg n
Puchztsidi	Puchztsidi	0		H	sg n
perandajad	päranda=ja	d		S	pl n
Kertsi	Kertsi	0		H	sg n
P.	P.	0		Y	sg n
perrajanud	perra_jää	nud		V	nud
kaebtuse	kaebus	0		S	sg g
Vassarl	Vassarl	0		H	sg n
