text	root	ending	clitic	partofspeech	form
Jõulu	Jõulu	0		H	sg n
Paul	Paul	0		H	sg n
Tallu	Tallu	0		H	sg n
Vossa	Vossa	0		H	sg n
ristman	risti	man		V	mas
Ropkast	Ropkast	st		H	sg n
Ollen	Ollen	0		H	sg n
valda	valda	0		H	sg n
Korki	Korki	0		H	sg n
Perrisostja	Perrisostja	0		H	sg n
Petr	Petr	0		H	sg n
Koplile	Kopli	le		H	sg all
Adolph	Adolph	0		H	sg n
voib	või	b		V	b
Kusta	Kusta	0		H	sg n
Köhre	Köhr	0		H	sg g
Voites	Voites	0		H	sg n
tonu	too	nu		V	nud
Klaosoni	Klaoson	0		H	sg g
Põdral	Põdra	l		H	sg ad
Päle	Päle	0		H	sg n
talkuse	talgus	0		S	sg g
Peep	Peep	0		H	sg n
Rohti	Roht	0		H	sg g
Kahjutassumist	Kahjutassumist	st		H	sg n
selletas	seleta	s		V	ks
ni	nii	0		D	
Parteli	Partel	0		H	sg g
Klantzile	Klanz	le		H	sg all
Aija	aed	0		S	sg g
Jakob	Jakob	0		H	sg n
kontrakt	kontraht	0		S	sg n
pääl	peal	0		K	
Lestale	Lesta	le		H	sg all
Annoka	Annok	0		H	sg g
Kitze	Kitze	0		H	sg n
Ottas	Ottas	0		H	sg n
ostman	ost	man		V	mas
Kärikul	Kärik	l		H	sg ad
Grünthalile	Grünthal	le		H	sg all
Kahma	Kahma	0		H	sg n
Maijer	Maijer	0		H	sg n
Maheina	Maheina	0		H	sg n
Patzmani	Patzmn	0		H	sg g
Birkenbaum	Birkenbaum	0		H	sg n
kulutedu	kuuluta	tu		V	tud
Verino	Verino	0		H	sg n
Post	Post	0		H	sg n
Linan	Linan	0		H	sg n
Kram	Kram	0		H	sg n
Damil	Damil	0		H	sg n
perra	perra	0		K	
Juhan	Juhan	0		H	sg n
Ria	Ria	0		H	sg n
Kitzingile	Kitzing	le		H	sg all
Daniel	Daniel	0		H	sg n
kaibajatele	kaebaja	tele		S	pl all
Apman	Apman	0		H	sg n
Pirilompi	Pirilompi	0		H	sg n
Leige	Leige	0		H	sg n
Trikko	Trikko	0		H	sg n
Tullekassase	Tullekahju	0		H	sg g
Tsernitschevi	Tsernitschevi	0		H	sg n
Hansu	Hansu	0		H	sg n
Tallukramita	Tallu	ta		H	sg ab
Rehealutse	rehe_alune	0		S	sg g
Mihkli	Mihkli	0		H	sg n
Jaag	Jaag	0		H	sg n
Sure	Sure	0		H	sg n
Mihklepäivas	Mihklepäivas	0		H	sg n
massab	maks	b		V	b
Grosberg	Grosberg	0		H	sg n
massetu	maks	tu		V	tud
Kõrtsimehe	Kõrtsimehe	0		H	sg n
Vuks	Vuks	0		H	sg n
Postiga	Post	ga		H	sg kom
praegutse	praegune	0		A	sg g
Kork	Kork	0		H	sg n
Neroti	Nerot	0		H	sg g
Karro	Karro	0		H	sg n
Klaost	Klaos	t		H	sg p
Astuvere	Astuvere	0		H	sg n
Kieter	Kieter	0		H	sg n
Einman	Einman	0		H	sg n
Widrik	Widrik	0		H	sg n
jures	juures	0		D	
Pruks	Pruks	0		H	sg n
Rukki	Rukki	0		H	sg n
Zobbi	Zobbi	0		H	sg n
Märtist	Märtist	0		H	sg n
Parve	Parve	0		H	sg n
Tee	Tee	0		H	sg n
neida	tema	ida		P	pl p
John	John	0		H	sg n
Janzen	Janzen	0		H	sg n
Martini	Martini	0		H	sg n
parrandada	paranda	da		V	da
Krami	Krami	0		H	sg n
Virro	Virro	0		H	sg n
Vidik	Vidik	0		H	sg n
Päraha	Päraha	0		H	sg n
Udeli	Udeli	0		H	sg n
Vernu	Vernu	0		H	sg n
kooli	kooli	0		H	sg n
Penks	Penks	0		H	sg n
Gold	Gold	0		H	sg n
Tschernitschov	Tschernitschov	0		H	sg n
Kõivle	Kõiv	le		H	sg all
Kerkile	Kerk	le		H	sg all
Kündlepäival	Kündlepäival	0		H	sg n
Tenzu	Tenz	0		H	sg g
Särrel	Särre	l		H	sg ad
Karri	Karri	0		H	sg n
omma	oma	0		P	sg g
Mõõtu	Mõõtu	0		H	sg n
Kal	Kal	0		H	sg n
Bergm	Bergm	0		H	sg n
Päkohtumehele	Päkohtumehele	0		H	sg n
Türkist	Türkist	0		H	sg n
Kõival	Kõiv	l		H	sg ad
Velledele	Vellest	le		H	sg all
völmündre	vöörmünder	0		S	sg n
Holz	Holz	0		H	sg n
Vallavalitsusse	Vallavalitsus	sse		H	sg ill
Kontrakti	Kontrakti	0		H	sg n
tunistust	tunnistus	t		S	sg p
Davitule	Davitule	0		H	sg n
Märtin	Märtin	0		H	sg n
pidinu	pida	nu		V	nud
Rebsom	Rebson	0		H	sg n
Marri	Marri	0		H	sg n
Hageli	Hagel	0		H	sg g
Parremb	Parremb	0		H	sg n
Päiv	Päiv	0		H	sg n
kulutedo	kuuluta	do		V	tud
Jõrgenitz	Jõrgenitz	0		H	sg n
Kogukonale	Kogukonna	le		H	sg all
Põder	Põder	0		H	sg n
Fortuna	Fortuna	0		H	sg n
Maijerit	Maijer	t		H	sg p
Lemingule	Leming	le		H	sg all
Riim	Riim	0		H	sg n
nõudmissest	nõudmine	st		S	sg el
asta	aasta	0		S	sg g
Palla	Palla	0		H	sg n
Mäksa	Mäksa	0		H	sg n
värjed	vari	d		S	pl n
Meijersile	Meijer	le		H	sg all
Vössa	Vössa	0		H	sg n
Möldre	Möldre	0		H	sg n
Kristjan	Kristjan	0		H	sg n
Lõhmus	Lõhmus	0		H	sg n
Kahmale	Kahma	le		H	sg all
Tomi	Tomi	0		H	sg n
kaibaja	kaebaja	0		S	sg g
Perisostja	Perisostja	0		H	sg n
Hendrik	Hendrik	0		H	sg n
Mihkel	Mihkel	0		H	sg n
Anokale	Anok	le		H	sg all
Jäger	Jäger	0		H	sg n
Kahmal	Kahma	l		H	sg ad
Rattasepa	Rattasep	0		H	sg g
tõine	teine	0		P	sg n
Jürripäiva	Jürripäiva	0		H	sg n
inemisega	inimene	ga		S	sg kom
Partel	Partel	0		H	sg n
Patzmanil	Patzman	l		H	sg ad
Tallorahva	Tallu	0		H	sg g
Kambja	Kambja	0		H	sg n
ja	ja	0		H	sg n
Risti	Risti	0		H	sg n
Tartu	Tartu	0		H	sg n
Kustes	Kustes	0		H	sg n
Livad	Livad	d		H	sg n
Kersi	Kersi	0		H	sg n
Locku	Lock	0		H	sg g
Anu	Anu	0		H	sg n
sanu	saa	nu		V	nud
Login	Login	0		H	sg n
vedaman	veda	man		V	mas
Jürripäival	Jürripäiva	l		H	sg ad
Turkile	Turk	le		H	sg all
lainus	laen	s		S	sg tr
Kesvat	Kesvi	t		H	sg p
Keiserliko	Keiserliko	0		H	sg n
Janseni	Janseni	0		H	sg n
linnan	linn	n		S	sg in
vak	vakk	0		S	sg n
Kiesat	Kiesa	t		H	sg p
Labanile	Laban	le		H	sg all
Kohhus	Kohhus	0		H	sg n
moistu	mõist	tu		V	tud
Tiko	Tiko	0		H	sg n
varrasten	varasta	n		V	nud
päle	peale	0		K	
Veski	Veski	0		H	sg n
Siem	Siem	0		H	sg n
Kaibuse	Kaibuse	0		H	sg n
Märt	Märt	0		H	sg n
Villemson	Villemson	0		H	sg n
Vill	Vill	0		H	sg n
ilmaigo	ilma_aegu	0		D	
Perremeste	Perremeste	0		H	sg n
nimitedu	nimeta	du		V	tud
päiva	päev	0		S	sg g
Jõrgenitzaga	Jõrgenitz	ga		H	sg kom
Päkohtumes	Päkohtumes	0		H	sg n
edesi	edasi	0		D	
intrese	intress	e		S	pl p
Margusse	Margusse	sse		H	sg n
Obligatsini	Obligatsini	0		H	sg n
Tedre	Tedre	0		H	sg n
Vieral	Viera	l		H	sg ad
Tomson	Tomson	0		H	sg n
Vassila	Vassili	0		H	sg n
Kautsioni	Kautsioni	0		H	sg n
Desatin	Desatin	0		H	sg n
Klantz	Klantz	0		H	sg n
Kirrepi	Kirrepi	0		H	sg n
Saknal	Sakna	l		H	sg ad
Turba	Turba	0		H	sg n
Ellaja	elajas	0		S	pl n
Meijeril	Meijer	l		H	sg ad
Manistja	Manistja	0		H	sg n
Veriko	Veriko	0		H	sg n
Karjamoisa	Karjamoisa	0		H	sg n
Virrole	Virro	le		H	sg all
Kalpus	Kalpus	0		H	sg n
Koguk	Koguk	0		H	sg n
Leen	Leen	0		H	sg n
Logina	Logina	0		H	sg n
Liivatile	Liivatile	0		H	sg n
sais	saa	is		V	ks
ollnu	ole	nu		V	nud
küssimisse	küsimine	0		S	sg g
Kohtumehe	Kohtumehe	0		H	sg n
Jürripävast	Jürripävast	st		H	sg n
Jaanipäival	Jaan	l		H	sg ad
Eduart	Eduart	0		H	sg n
Leminge	Leming	0		H	sg g
Sägna	Sägna	0		H	sg n
sinnule	sina	le		P	sg all
Kärike	Kärik	0		H	sg g
Novembrl	Novembrl	0		H	sg n
Nakla	Nakla	0		H	sg n
tunistajas	tunnistaja	s		S	sg tr
Laatsi	Laatsi	0		H	sg n
Tallule	Tallule	0		H	sg n
Livat	Livad	t		H	sg p
Tallo	Tallu	0		H	sg n
Essal	Essal	0		H	sg n
Ernitz	Ernitz	0		H	sg n
kõrral	kord	l		S	sg ad
Idale	Idale	0		H	sg n
Kaero	Kaero	0		H	sg n
Villem	Villem	0		H	sg n
Alman	Alman	0		H	sg n
Einmanile	Einman	le		H	sg all
entulleva	ees_tule	va		V	v sg g
Mihklipäival	Mihklipäival	0		H	sg n
Kronole	Kronole	0		H	sg n
Bergmani	Bergman	0		H	sg g
heinat	hein	t		S	pl n
Essa	Essa	0		H	sg n
se	see	0		P	sg n
Roja	Roja	0		H	sg n
Kartoflide	Kartoflide	0		H	sg n
Nisama	nii_sama	0		D	
Luhale	Luha	le		H	sg all
Adamsoni	Adamsoni	0		H	sg n
Wakka	Wakka	0		H	sg n
sis	siis	0		D	
Kohtumehele	Kohtumehele	0		H	sg n
Meijerile	Meijer	le		H	sg all
Janipäiva	Janipäiva	0		H	sg n
Palle	Palle	0		H	sg n
Palite	Palito	0		H	sg n
Kustest	Kuste	t		H	sg p
vähembas	vähem	s		C	sg tr
Loginaga	Login	ga		H	sg kom
Vantka	Vantka	0		H	sg n
Januari	Januari	0		H	sg n
Patzmn	Patzmn	0		H	sg n
Turk	Turk	0		H	sg n
Lemingo	Leming	0		H	sg g
Avik	Avik	0		H	sg n
Kõivole	Kõiv	le		H	sg all
Enno	Enno	0		H	sg n
kündmada	künd	mada		V	mata
Endr	Endr	0		H	sg n
Adra	Adra	0		H	sg n
külvetus	külva	tus		V	tud tr
Ristil	Risti	l		H	sg ad
Tschernitschi	Tschernitschi	0		H	sg n
Lemingu	Leming	0		H	sg g
Konti	Konti	0		H	sg n
Klaosele	Klaos	le		H	sg all
Krooman	Krooman	0		H	sg n
Junil	Junil	0		H	sg n
Mällo	Mällo	0		H	sg n
Pikk	Pikk	0		H	sg n
tõisele	teine	le		P	sg all
Rosenthal	Rosenthal	0		H	sg n
Vallavanembale	Vallavanembale	0		H	sg n
Roht	Roht	0		H	sg n
Posti	Posti	0		H	sg n
surt	suur	t		A	sg p
Molliko	Molliko	0		H	sg n
Kinnas	Kinnas	0		H	sg n
Köhra	Köhra	0		H	sg n
ulitsen	uulits	n		S	sg in
Abram	Abram	0		H	sg n
Kitzingu	Kitzingu	0		H	sg n
Kapliga	Kapliga	ga		H	sg n
kaubeltu	kauple	tu		V	tud
Kromani	Kromani	0		H	sg n
Roijolt	Roijolt	0		H	sg n
Vassilale	Vassili	le		H	sg all
Joh	Joh	0		H	sg n
Kriska	Kriska	0		H	sg n
Emma	Emma	0		H	sg n
Antik	Antik	0		H	sg n
Pruksiga	Pruks	ga		H	sg kom
Leming	Leming	0		H	sg n
Kõrdi	Kõrdi	0		H	sg n
Hagenile	Hagel	le		H	sg all
Tsernitschev	Tsernitschev	0		H	sg n
nõudmisset	nõudmine	t		S	pl n
jänu	jää	nu		V	nud
Rattasepale	Rattasep	le		H	sg all
Vechr	Vechr	0		H	sg n
Peepu	Peepu	0		H	sg n
üts	üks	0		P	sg n
Kerriko	Kerriko	0		H	sg n
Lattik	Lattik	0		H	sg n
Pimarentnik	Pimarentnik	0		H	sg n
Tehvand	Tehvand	0		H	sg n
lainanu	laena	nu		V	nud
Laber	Laber	0		H	sg n
Mai	Mai	0		H	sg n
päiv	päev	0		S	sg n
Vallavalitsuse	Vallavanemba	0		H	sg g
Voitesele	Voites	le		H	sg all
Linno	Linno	0		H	sg n
Carl	Carl	0		H	sg n
Rootsi	Roots	0		H	sg g
Klose	Klose	0		H	sg n
Palito	Palito	0		H	sg n
Ostra	Ostra	0		H	sg n
Pistoli	Pistoli	0		H	sg n
Vallakassa	Vallakassa	0		H	sg n
Võsse	Võsso	sse		H	sg ill
Liesa	Liesa	0		H	sg n
Nekrudis	Nekrudis	0		H	sg n
Sola	Sola	0		H	sg n
Alt	Alt	0		H	sg n
kaero	kaer	0		S	sg p
Lepko	Lepko	0		H	sg n
Tootsi	Tootsi	0		H	sg n
majan	maja	n		S	sg in
Werro	Werro	0		H	sg n
Heinrich	Heinrich	0		H	sg n
Saksa	Saks	0		H	sg g
Klim	Klim	0		H	sg n
vallavalitsuse	vallavalitsuse	0		H	sg n
Vakki	Vakki	0		H	sg n
tennu	tege	nu		V	nud
Ers	Ers	0		H	sg n
Moliko	Moliko	0		H	sg n
Surest	Surest	0		H	sg n
Valla	Valla	0		H	sg n
Vore	Voore	0		H	sg g
Linki	Link	0		H	sg g
Oktbr	Oktbr	0		H	sg n
Maamõtja	Maamõtja	0		H	sg n
Sisaski	Sisaski	0		H	sg n
Krisa	Krisa	0		H	sg n
Vallavanemba	Vallavanemba	0		H	sg n
Luseperra	Luseperra	0		H	sg n
Anok	Anok	0		H	sg n
Jaak	Jaak	0		H	sg n
Köhrale	Köhr	le		H	sg all
Almanile	Alman	le		H	sg all
Karjapois	Karjapois	0		H	sg n
Madisonil	Madison	l		H	sg ad
Adraah	Adraah	0		H	sg n
Josep	Josep	0		H	sg n
Rosenthali	Rosenthal	0		H	sg g
Rist	Rist	0		H	sg n
Black	Black	0		H	sg n
Zobel	Zobel	0		H	sg n
Madisonile	Madison	le		H	sg all
Kärn	Kärn	0		H	sg n
Vidrik	Vidrik	0		H	sg n
Pranglist	Pranglist	st		H	sg n
Henn	Henn	0		H	sg n
Raija	Raija	0		H	sg n
Kesva	Kesvi	0		H	sg n
Paule	Paul	le		H	sg all
Kartoflin	Kartoflid	0		H	sg n
Treial	Treial	0		H	sg n
Rein	Rein	0		H	sg n
Kordi	Kordi	0		H	sg n
Klaoson	Klaoson	0		H	sg n
Konsen	Konsen	0		H	sg n
intresist	intress	st		S	sg tr
Tsernischov	Tsernischov	0		H	sg n
pää	pea	0		S	sg g
Kopli	Kopli	0		H	sg n
Piir	Piir	0		H	sg n
Vakkamaa	Vakkamaa	0		H	sg n
Laban	Laban	0		H	sg n
Mõtsavahi	Mõtsavahi	0		H	sg n
tõises	teine	s		O	sg tr
ellab	ela	b		V	b
Rattasep	Rattasep	0		H	sg n
Saviko	Saviko	0		H	sg n
perris	päris	0		A	
Torti	Torti	0		H	sg n
tettu	tege	tu		V	tud
Dubergi	Duberg	0		H	sg g
Annoki	Annok	0		H	sg g
Päkohtumehe	Päkohtumehe	0		H	sg n
Vanna	Vanna	0		H	sg n
Kroman	Kroman	0		H	sg n
ärra	ära	0		D	
Adam	Adam	0		H	sg n
Perrenaene	Perrenaene	0		H	sg n
Lätte	Lätte	0		H	sg n
Schvalbe	Schvalbe	0		H	sg n
Klautz	Klautz	0		H	sg n
Kubjas	Kubja	0		H	sg g
Kromanile	Kroman	le		H	sg all
Antikule	Antik	le		H	sg all
Eespäival	Eespäival	0		H	sg n
seemnid	seeme	id		S	pl p
Opman	Opman	0		H	sg n
allakirjutedo	alla_kirjuta	do		V	tud
Saviku	Saviku	0		H	sg n
essale	isa	le		S	sg all
Kusti	Kusta	0		H	sg n
Luha	Luha	0		H	sg n
Zobelile	Zobel	le		H	sg all
Rükki	Rükki	0		H	sg n
Lesk	Lesk	0		H	sg n
Karjusse	Karjusse	sse		H	sg n
kormaline	koormaline	0		A	sg n
Bruun	Bruun	0		H	sg n
ollen	ole	en		V	des
Bruumile	Bruun	le		H	sg all
konne	kuni	0		J	
H.	H.	0		Y	sg n
Reino	Reino	0		H	sg n
Kiter	Kiter	0		H	sg n
Krimanist	Krimanist	st		H	sg n
Ado	Ado	0		H	sg n
Sovik	Sovik	0		H	sg n
Klanz	Klanz	0		H	sg n
Märti	Märti	0		H	sg n
Lövi	Lövi	0		H	sg n
Reili	Reili	0		H	sg n
pallus	palu	s		V	s
Visi	Visi	0		H	sg n
Jörgevitze	Jörgevitz	0		H	sg g
Luats	Luats	0		H	sg n
Johani	Johan	0		H	sg g
Toomile	Toom	le		H	sg all
Rasval	Rasva	l		H	sg ad
Lätti	Lätti	0		H	sg n
massa	maks	0		V	o
Klaosen	Klaosen	0		H	sg n
Vangi	Vangi	0		H	sg n
Jutsi	Jutsi	0		H	sg n
Volmünder	Volmünder	0		H	sg n
Rootzi	Roots	0		H	sg g
Arja	Arja	0		H	sg n
Krimanin	Krimani	0		H	sg g
Udeile	Udeile	0		H	sg n
peava	pea	va		V	vad
Jag	Jag	0		H	sg n
Mällole	Mällo	le		H	sg all
Jürrile	Jürri	le		H	sg all
Ropka	Ropka	0		H	sg n
Raisk	Raisk	0		H	sg n
Asma	Asma	0		H	sg n
Vernole	Verno	le		H	sg all
sellle	see	0		P	sg g
Kollamõtza	Kollamõtza	0		H	sg n
Vak	Vak	0		H	sg n
kohtu	kohtu	0		H	sg n
massnu	maks	nu		V	nud
Kõiv	Kõiv	0		H	sg n
Kohtumeste	Kohtumeste	0		H	sg n
Völmünder	Völmündre	0		H	sg n
Mihklepäival	Mihklepäival	0		H	sg n
lenno	lina	o		S	pl p
Marguse	Marguse	0		H	sg n
kaibas	kaeba	s		V	s
Rebson	Rebson	0		H	sg n
Siimule	Siimule	le		H	sg n
Klaus	Klaus	0		H	sg n
Jürripäivast	Jürripävast	t		H	sg p
Birkenbaumi	Birkenbaumi	0		H	sg n
padda	pada	0		S	sg p
Zabbi	Zabbi	0		H	sg n
Esse	Esse	0		H	sg n
Kohtule	Kohtule	0		H	sg n
Kusten	Kustes	0		H	sg n
Hava	Hava	0		H	sg n
Ann	Ann	0		H	sg n
Rüki	Rüki	0		H	sg n
massut	maks	t		S	pl n
Udel	Udel	0		H	sg n
Mattuse	Mattuse	0		H	sg n
Kiesa	Kiesa	0		H	sg n
Jörgenitz	Jörgenitz	0		H	sg n
Vakk	Vakk	0		H	sg n
Toome	Toom	0		H	sg g
krus	kruus	0		S	sg n
Jaani	Jaan	0		H	sg g
päl	peal	0		K	
Reed	Reed	d		H	sg n
Kesvi	Kesvi	0		H	sg n
Kieterit	Kieter	t		H	sg p
Karik	Karik	0		H	sg n
Lieva	Lieva	0		H	sg n
Säkna	Säkna	0		H	sg n
Vernot	Verno	t		H	sg p
Postile	Post	le		H	sg all
Duberg	Duberg	0		H	sg n
Jägeri	Jäger	0		H	sg g
Aleksandri	Aleksandri	0		H	sg n
Reinbaumile	Reinbaum	le		H	sg all
Raili	Raili	0		H	sg n
rükkikõrd	rukki_kord	0		S	sg n
Klaoseni	Klaosen	0		H	sg g
kerriko	kirik	0		S	sg g
kül	küll	0		D	
Madisoni	Madison	0		H	sg g
üttevat	ütle	vat		V	vat
Tõise	Tõise	0		H	sg n
Karjan	Karjan	0		H	sg n
Sossar	Sossar	0		H	sg n
enged	hing	d		S	pl n
Ain	Ain	0		H	sg n
Viera	Viera	0		H	sg n
Verno	Verno	0		H	sg n
Käriko	Kärik	0		H	sg g
kontrakti	kontraht	0		S	sg p
Lättile	Lätti	le		H	sg all
Aleksandr	Aleksandr	0		H	sg n
viennu	vii	nu		V	nud
Kagvere	Kagvere	0		H	sg n
Oktobrl	Oktobrl	0		H	sg n
Annukale	Annukale	0		H	sg n
Kar	Kar	0		H	sg n
palletuse	põletus	0		S	sg g
Jörgevitz	Jörgevitz	0		H	sg n
Kondi	Kondi	0		H	sg n
Perremehe	Perremehe	0		H	sg n
temma	tema	0		P	sg n
tassumist	tasumine	t		S	sg p
Anno	Anno	0		H	sg n
Kurrista	Kurrista	0		H	sg n
andno	and	no		V	nud
essa	isa	0		S	sg n
Mikko	Mikko	0		H	sg n
Peterson	Peterson	0		H	sg n
Türkile	Türkist	le		H	sg all
Jüri	Jüri	0		H	sg n
Labani	Laban	0		H	sg g
Jula	Jula	0		H	sg n
Tomsonile	Tomson	le		H	sg all
Lievati	Lieva	0		H	sg g
hainu	hein	u		S	pl p
Läätse	Läätse	0		H	sg n
Tsobbi	Tsobbi	0		H	sg n
sõido	sõit	0		S	sg g
Luhan	Luhan	0		H	sg n
Sullases	Sullases	0		H	sg n
Müimine	Müimine	0		H	sg n
Sillakohus	Sillakohus	0		H	sg n
Obligatsin	Obligatsin	0		H	sg n
Tarre	Tarre	0		H	sg n
Otsa	Otsa	0		H	sg n
Seemend	Seemend	0		H	sg n
Link	Link	0		H	sg n
Priko	Priko	0		H	sg n
Naese	Naese	0		H	sg n
Langetõbbi	Langetõbbi	0		H	sg n
Krimani	Krimani	0		H	sg n
ulitsan	uulits	n		S	sg in
Henni	Henni	0		H	sg n
tõised	teine	d		P	pl n
Tohvri	Tohvri	0		H	sg n
Soo	Soo	0		H	sg n
Lääts	Lääts	0		H	sg n
Kõivale	Kõiv	le		H	sg all
